user_id,assigned_at,variant,channel,device,age_band,prior_investor,landing_page_view,started_application,completed_kyc,funded_account,account_opened,initial_assets_usd
100001,2026-08-26 16:25:10,B,Social,Desktop,25-34,0,1,1,1,0,0,0.0
100002,2026-08-26 19:11:24,A,Social,Mobile,55+,0,1,0,0,0,0,0.0
100003,2026-08-28 06:32:10,A,Partner,Desktop,25-34,0,1,1,1,1,1,9784.08
100004,2026-08-20 14:12:23,B,Social,Mobile,25-34,0,1,0,0,0,0,0.0
100005,2026-08-02 06:37:48,B,Paid Search,Mobile,35-44,0,1,1,1,1,1,7587.53
100006,2026-08-09 11:23:00,B,Direct,Desktop,25-34,0,1,1,1,1,1,3822.66
100007,2026-08-26 20:41:29,A,Organic Search,Mobile,25-34,0,1,1,1,0,0,0.0
100008,2026-08-19 04:06:46,B,Direct,Tablet,35-44,0,1,1,1,1,1,2938.81
100009,2026-08-24 04:27:54,B,Paid Search,Desktop,25-34,1,1,0,0,0,0,0.0
100010,2026-08-14 03:34:34,B,Organic Search,Mobile,35-44,0,1,0,0,0,0,0.0
100011,2026-08-27 07:12:35,A,Organic Search,Mobile,25-34,0,1,0,0,0,0,0.0
100012,2026-08-15 08:25:11,A,Partner,Mobile,45-54,0,1,1,0,0,0,0.0
100013,2026-08-04 05:16:07,A,Social,Desktop,55+,0,1,1,1,1,0,0.0
100014,2026-08-25 17:57:22,B,Organic Search,Desktop,35-44,1,1,1,1,0,0,0.0
100015,2026-08-04 19:29:25,A,Paid Search,Mobile,55+,0,1,1,1,0,0,0.0
100016,2026-08-10 02:40:01,A,Paid Search,Mobile,35-44,0,1,1,1,0,0,0.0
100017,2026-08-16 20:40:55,B,Organic Search,Tablet,45-54,0,1,1,1,1,1,6730.27
100018,2026-08-21 10:48:11,A,Organic Search,Mobile,35-44,0,1,1,0,0,0,0.0
100019,2026-08-04 18:51:09,A,Direct,Desktop,25-34,1,1,1,1,1,1,9882.79
100020,2026-08-22 03:06:13,A,Direct,Desktop,55+,0,1,1,1,1,1,7645.0
100021,2026-08-10 03:55:43,B,Partner,Mobile,55+,0,1,1,1,1,1,6113.64
100022,2026-08-02 04:42:35,B,Organic Search,Desktop,45-54,0,1,1,1,1,1,2341.97
100023,2026-08-15 14:45:52,B,Direct,Mobile,35-44,0,1,1,1,0,0,0.0
100024,2026-08-27 09:52:11,B,Paid Search,Desktop,25-34,1,1,1,1,1,1,38677.1
100025,2026-08-17 03:47:05,A,Paid Search,Mobile,18-24,0,1,0,0,0,0,0.0
100026,2026-08-18 00:28:05,B,Organic Search,Desktop,35-44,1,1,1,0,0,0,0.0
100027,2026-08-12 10:50:36,A,Partner,Mobile,25-34,1,1,1,0,0,0,0.0
100028,2026-08-16 03:09:31,A,Partner,Mobile,45-54,0,1,0,0,0,0,0.0
100029,2026-08-11 14:44:00,A,Direct,Desktop,35-44,0,1,1,1,0,0,0.0
100030,2026-08-18 22:12:42,A,Organic Search,Desktop,55+,0,1,1,1,1,1,3596.12
100031,2026-08-27 02:04:42,A,Direct,Mobile,45-54,0,1,0,0,0,0,0.0
100032,2026-08-23 05:11:26,A,Social,Mobile,35-44,1,1,1,1,1,0,0.0
100033,2026-08-08 13:53:31,B,Organic Search,Mobile,45-54,0,1,1,1,0,0,0.0
100034,2026-08-07 02:23:55,A,Paid Search,Tablet,55+,1,1,1,1,1,1,2979.73
100035,2026-08-08 12:02:23,B,Social,Desktop,35-44,0,1,1,1,1,1,1137.95
100036,2026-08-18 08:55:42,A,Direct,Mobile,25-34,0,1,0,0,0,0,0.0
100037,2026-08-01 18:15:25,A,Direct,Mobile,25-34,0,1,1,1,0,0,0.0
100038,2026-08-01 23:30:54,A,Email,Mobile,35-44,0,1,1,1,1,1,7421.24
100039,2026-08-12 00:47:57,A,Email,Desktop,55+,1,1,1,1,1,1,12296.19
100040,2026-08-23 14:52:34,A,Social,Mobile,35-44,0,1,1,1,1,1,3565.07
100041,2026-08-28 23:09:42,B,Direct,Desktop,45-54,1,1,1,1,1,1,8093.48
100042,2026-08-28 10:31:30,B,Organic Search,Mobile,25-34,1,1,1,1,0,0,0.0
100043,2026-08-07 02:42:58,A,Direct,Mobile,35-44,0,1,1,1,1,1,5504.84
100044,2026-08-16 02:36:56,A,Paid Search,Mobile,45-54,0,1,1,0,0,0,0.0
100045,2026-08-17 23:08:09,B,Paid Search,Desktop,35-44,0,1,1,1,0,0,0.0
100046,2026-08-01 18:55:48,A,Organic Search,Tablet,35-44,0,1,0,0,0,0,0.0
100047,2026-08-22 03:07:45,A,Social,Desktop,25-34,0,1,0,0,0,0,0.0
100048,2026-08-03 23:15:08,B,Organic Search,Desktop,35-44,0,1,1,1,0,0,0.0
100049,2026-08-10 07:13:11,B,Partner,Desktop,45-54,0,1,1,1,1,1,2773.55
100050,2026-08-11 09:09:02,B,Social,Mobile,25-34,1,1,0,0,0,0,0.0
100051,2026-08-26 12:08:02,B,Partner,Tablet,18-24,0,1,0,0,0,0,0.0
100052,2026-08-07 23:52:45,A,Paid Search,Mobile,45-54,1,1,0,0,0,0,0.0
100053,2026-08-22 15:42:08,A,Social,Mobile,25-34,1,1,0,0,0,0,0.0
100054,2026-08-21 12:36:55,A,Partner,Mobile,35-44,0,1,1,1,1,1,14504.58
100055,2026-08-24 18:59:15,B,Paid Search,Mobile,55+,1,1,0,0,0,0,0.0
100056,2026-08-10 07:51:29,B,Organic Search,Mobile,25-34,0,1,1,1,1,1,3902.88
100057,2026-08-18 10:59:09,A,Social,Mobile,45-54,0,1,1,1,1,1,11702.66
100058,2026-08-27 16:23:33,A,Paid Search,Desktop,35-44,1,1,1,0,0,0,0.0
100059,2026-08-16 18:48:35,A,Paid Search,Desktop,18-24,0,1,1,1,0,0,0.0
100060,2026-08-15 03:00:05,A,Partner,Desktop,25-34,0,1,0,0,0,0,0.0
100061,2026-08-04 03:30:36,A,Direct,Desktop,35-44,0,1,0,0,0,0,0.0
100062,2026-08-25 06:05:05,B,Email,Tablet,25-34,0,1,1,0,0,0,0.0
100063,2026-08-27 14:43:55,B,Organic Search,Mobile,25-34,0,1,1,1,0,0,0.0
100064,2026-08-03 06:39:29,A,Organic Search,Desktop,45-54,0,1,1,1,1,1,3449.96
100065,2026-08-15 17:15:41,A,Paid Search,Desktop,45-54,1,1,0,0,0,0,0.0
100066,2026-08-13 02:46:37,A,Email,Tablet,35-44,0,1,1,1,0,0,0.0
100067,2026-08-19 08:06:38,A,Email,Mobile,35-44,0,1,0,0,0,0,0.0
100068,2026-08-07 12:51:25,A,Organic Search,Desktop,35-44,0,1,1,0,0,0,0.0
100069,2026-08-17 05:28:27,B,Partner,Desktop,25-34,0,1,1,0,0,0,0.0
100070,2026-08-16 04:22:16,A,Email,Desktop,35-44,0,1,0,0,0,0,0.0
100071,2026-08-12 15:48:13,B,Organic Search,Mobile,45-54,0,1,0,0,0,0,0.0
100072,2026-08-07 17:04:39,B,Social,Mobile,55+,0,1,1,1,1,1,5395.21
100073,2026-08-01 06:27:27,B,Organic Search,Desktop,25-34,0,1,0,0,0,0,0.0
100074,2026-08-13 10:01:16,A,Direct,Desktop,45-54,0,1,1,1,0,0,0.0
100075,2026-08-16 07:28:25,B,Social,Desktop,55+,0,1,1,1,0,0,0.0
100076,2026-08-21 11:00:40,A,Partner,Mobile,45-54,0,1,1,1,0,0,0.0
100077,2026-08-15 20:59:20,A,Paid Search,Mobile,45-54,0,1,1,1,1,0,0.0
100078,2026-08-19 15:28:28,A,Organic Search,Mobile,35-44,0,1,1,0,0,0,0.0
100079,2026-08-22 19:57:02,B,Organic Search,Mobile,55+,1,1,1,1,0,0,0.0
100080,2026-08-12 07:52:12,A,Organic Search,Mobile,45-54,0,1,0,0,0,0,0.0
100081,2026-08-17 11:57:52,A,Direct,Desktop,25-34,0,1,1,1,1,1,8233.59
100082,2026-08-01 13:36:24,A,Social,Desktop,18-24,0,1,1,1,0,0,0.0
100083,2026-08-28 18:41:10,A,Partner,Desktop,25-34,0,1,0,0,0,0,0.0
100084,2026-08-28 08:04:24,A,Paid Search,Desktop,45-54,0,1,0,0,0,0,0.0
100085,2026-08-18 09:53:04,A,Direct,Tablet,55+,0,1,1,0,0,0,0.0
100086,2026-08-24 12:54:03,B,Organic Search,Mobile,18-24,0,1,1,1,1,1,4152.1
100087,2026-08-26 19:41:59,A,Partner,Desktop,35-44,1,1,1,1,1,1,11964.89
100088,2026-08-21 06:42:06,B,Organic Search,Mobile,25-34,1,1,0,0,0,0,0.0
100089,2026-08-02 13:52:10,B,Direct,Desktop,35-44,1,1,0,0,0,0,0.0
100090,2026-08-21 02:31:35,A,Paid Search,Mobile,45-54,0,1,0,0,0,0,0.0
100091,2026-08-25 10:25:38,B,Organic Search,Desktop,35-44,0,1,1,1,1,1,1733.57
100092,2026-08-07 18:49:06,B,Social,Desktop,25-34,0,1,0,0,0,0,0.0
100093,2026-08-25 10:03:38,B,Direct,Mobile,18-24,1,1,1,1,1,1,3823.53
100094,2026-08-26 19:56:25,B,Direct,Tablet,55+,0,1,0,0,0,0,0.0
100095,2026-08-04 08:16:38,B,Paid Search,Desktop,45-54,1,1,1,1,0,0,0.0
100096,2026-08-22 08:03:20,A,Paid Search,Desktop,18-24,0,1,1,1,1,1,4452.6
100097,2026-08-13 11:45:11,B,Organic Search,Desktop,25-34,0,1,0,0,0,0,0.0
100098,2026-08-12 12:41:47,A,Direct,Mobile,45-54,0,1,1,1,1,1,3613.4
100099,2026-08-05 01:34:39,B,Organic Search,Desktop,35-44,0,1,1,1,0,0,0.0
100100,2026-08-22 15:30:30,A,Partner,Mobile,35-44,1,1,1,1,1,1,5982.4
100101,2026-08-06 15:59:30,B,Social,Mobile,35-44,0,1,0,0,0,0,0.0
100102,2026-08-24 17:38:51,A,Social,Desktop,25-34,0,1,0,0,0,0,0.0
100103,2026-08-16 07:08:05,B,Direct,Desktop,35-44,0,1,0,0,0,0,0.0
100104,2026-08-25 13:21:30,B,Social,Mobile,35-44,0,1,1,1,0,0,0.0
100105,2026-08-27 14:33:36,B,Paid Search,Mobile,35-44,0,1,1,1,1,1,5452.59
100106,2026-08-06 16:27:14,B,Paid Search,Mobile,35-44,1,1,0,0,0,0,0.0
100107,2026-08-23 13:11:00,A,Organic Search,Desktop,55+,0,1,1,1,1,1,9786.43
100108,2026-08-02 14:39:42,B,Email,Mobile,55+,0,1,1,0,0,0,0.0
100109,2026-08-18 14:31:41,B,Organic Search,Desktop,25-34,0,1,1,1,0,0,0.0
100110,2026-08-14 23:15:14,B,Social,Desktop,45-54,0,1,0,0,0,0,0.0
100111,2026-08-03 03:07:44,B,Organic Search,Mobile,25-34,0,1,1,1,0,0,0.0
100112,2026-08-03 11:27:00,A,Direct,Mobile,55+,0,1,1,1,1,1,8937.85
100113,2026-08-23 20:03:10,A,Social,Tablet,25-34,0,1,1,1,1,1,1000.79
100114,2026-08-11 09:17:01,B,Direct,Mobile,35-44,0,1,1,1,1,1,1353.23
100115,2026-08-20 14:41:30,B,Organic Search,Tablet,25-34,1,1,0,0,0,0,0.0
100116,2026-08-14 12:22:32,A,Direct,Mobile,25-34,0,1,1,1,1,1,9400.09
100117,2026-08-27 19:22:01,B,Direct,Desktop,25-34,1,1,0,0,0,0,0.0
100118,2026-08-02 10:00:09,A,Organic Search,Desktop,55+,1,1,1,1,1,1,9323.6
100119,2026-08-24 08:11:56,B,Partner,Desktop,35-44,1,1,1,1,1,1,10458.4
100120,2026-08-28 04:59:30,B,Paid Search,Mobile,55+,0,1,1,1,1,1,9702.67
100121,2026-08-09 21:46:38,A,Organic Search,Desktop,25-34,0,1,1,1,1,1,2146.01
100122,2026-08-13 17:09:51,B,Paid Search,Desktop,35-44,1,1,1,1,1,1,26620.98
100123,2026-08-11 02:52:51,B,Organic Search,Mobile,25-34,0,1,0,0,0,0,0.0
100124,2026-08-17 21:32:13,A,Direct,Desktop,18-24,0,1,1,1,1,1,3809.07
100125,2026-08-14 08:40:54,A,Paid Search,Mobile,45-54,0,1,0,0,0,0,0.0
100126,2026-08-12 06:25:48,A,Email,Desktop,25-34,1,1,1,1,1,1,1695.51
100127,2026-08-15 01:04:35,B,Social,Mobile,45-54,1,1,1,1,1,1,3712.05
100128,2026-08-24 09:38:20,A,Direct,Mobile,35-44,0,1,1,1,1,1,7096.64
100129,2026-08-12 13:33:58,A,Paid Search,Mobile,55+,1,1,1,1,1,1,17207.63
100130,2026-08-23 07:40:34,A,Social,Desktop,55+,0,1,0,0,0,0,0.0
100131,2026-08-05 09:33:09,A,Organic Search,Mobile,45-54,0,1,1,1,0,0,0.0
100132,2026-08-01 12:06:25,B,Social,Desktop,45-54,0,1,0,0,0,0,0.0
100133,2026-08-17 10:25:45,B,Partner,Desktop,35-44,1,1,0,0,0,0,0.0
100134,2026-08-26 00:19:56,A,Organic Search,Mobile,55+,0,1,1,0,0,0,0.0
100135,2026-08-02 06:25:56,B,Organic Search,Mobile,45-54,1,1,1,1,0,0,0.0
100136,2026-08-19 05:39:17,B,Email,Desktop,25-34,0,1,0,0,0,0,0.0
100137,2026-08-24 20:31:23,A,Organic Search,Desktop,45-54,0,1,1,1,1,0,0.0
100138,2026-08-03 07:37:15,A,Organic Search,Desktop,45-54,1,1,0,0,0,0,0.0
100139,2026-08-25 13:44:51,B,Organic Search,Desktop,45-54,1,1,1,1,0,0,0.0
100140,2026-08-24 06:03:41,B,Email,Desktop,18-24,0,1,1,1,1,1,4646.4
100141,2026-08-14 21:44:42,B,Paid Search,Mobile,35-44,0,1,0,0,0,0,0.0
100142,2026-08-07 06:38:55,A,Email,Desktop,25-34,1,1,1,1,0,0,0.0
100143,2026-08-01 21:02:46,B,Email,Desktop,45-54,0,1,1,1,1,1,11190.45
100144,2026-08-20 16:34:00,B,Direct,Desktop,45-54,0,1,0,0,0,0,0.0
100145,2026-08-12 09:25:46,B,Partner,Mobile,18-24,1,1,0,0,0,0,0.0
100146,2026-08-18 09:32:45,B,Email,Mobile,25-34,0,1,0,0,0,0,0.0
100147,2026-08-26 20:50:00,B,Paid Search,Desktop,55+,0,1,0,0,0,0,0.0
100148,2026-08-02 11:32:28,B,Paid Search,Mobile,35-44,0,1,0,0,0,0,0.0
100149,2026-08-19 20:11:20,A,Social,Mobile,35-44,0,1,1,1,1,1,4186.25
