user_id,event_name,event_time,variant,channel,device
100001,landing_page,2026-08-26 16:37:44,B,Social,Desktop
100001,application_start,2026-08-26 17:51:54,B,Social,Desktop
100001,kyc_complete,2026-08-26 17:45:40,B,Social,Desktop
100002,landing_page,2026-08-26 20:40:39,A,Social,Mobile
100003,landing_page,2026-08-28 07:55:46,A,Partner,Desktop
100003,application_start,2026-08-28 07:50:51,A,Partner,Desktop
100003,kyc_complete,2026-08-28 07:09:17,A,Partner,Desktop
100003,funding,2026-08-28 07:54:30,A,Partner,Desktop
100003,account_opened,2026-08-28 07:13:24,A,Partner,Desktop
100004,landing_page,2026-08-20 14:18:44,B,Social,Mobile
100005,landing_page,2026-08-02 07:39:10,B,Paid Search,Mobile
100005,application_start,2026-08-02 06:41:41,B,Paid Search,Mobile
100005,kyc_complete,2026-08-02 07:10:08,B,Paid Search,Mobile
100005,funding,2026-08-02 06:52:12,B,Paid Search,Mobile
100005,account_opened,2026-08-02 07:21:05,B,Paid Search,Mobile
100006,landing_page,2026-08-09 11:55:41,B,Direct,Desktop
100006,application_start,2026-08-09 12:30:59,B,Direct,Desktop
100006,kyc_complete,2026-08-09 12:10:24,B,Direct,Desktop
100006,funding,2026-08-09 11:51:39,B,Direct,Desktop
100006,account_opened,2026-08-09 12:30:46,B,Direct,Desktop
100007,landing_page,2026-08-26 21:28:49,A,Organic Search,Mobile
100007,application_start,2026-08-26 21:18:13,A,Organic Search,Mobile
100007,kyc_complete,2026-08-26 21:16:03,A,Organic Search,Mobile
100008,landing_page,2026-08-19 05:01:10,B,Direct,Tablet
100008,application_start,2026-08-19 04:25:33,B,Direct,Tablet
100008,kyc_complete,2026-08-19 05:35:23,B,Direct,Tablet
100008,funding,2026-08-19 04:26:46,B,Direct,Tablet
100008,account_opened,2026-08-19 04:55:27,B,Direct,Tablet
100009,landing_page,2026-08-24 05:32:18,B,Paid Search,Desktop
100010,landing_page,2026-08-14 04:09:56,B,Organic Search,Mobile
100011,landing_page,2026-08-27 08:41:11,A,Organic Search,Mobile
100012,landing_page,2026-08-15 09:17:11,A,Partner,Mobile
100012,application_start,2026-08-15 08:37:58,A,Partner,Mobile
100013,landing_page,2026-08-04 05:41:34,A,Social,Desktop
100013,application_start,2026-08-04 05:46:07,A,Social,Desktop
100013,kyc_complete,2026-08-04 05:59:11,A,Social,Desktop
100013,funding,2026-08-04 06:02:36,A,Social,Desktop
100014,landing_page,2026-08-25 18:06:42,B,Organic Search,Desktop
100014,application_start,2026-08-25 18:54:39,B,Organic Search,Desktop
100014,kyc_complete,2026-08-25 18:52:06,B,Organic Search,Desktop
100015,landing_page,2026-08-04 20:22:45,A,Paid Search,Mobile
100015,application_start,2026-08-04 20:26:14,A,Paid Search,Mobile
100015,kyc_complete,2026-08-04 20:33:52,A,Paid Search,Mobile
100016,landing_page,2026-08-10 02:48:42,A,Paid Search,Mobile
100016,application_start,2026-08-10 02:57:41,A,Paid Search,Mobile
100016,kyc_complete,2026-08-10 03:09:05,A,Paid Search,Mobile
100017,landing_page,2026-08-16 20:42:28,B,Organic Search,Tablet
100017,application_start,2026-08-16 21:03:45,B,Organic Search,Tablet
100017,kyc_complete,2026-08-16 21:21:00,B,Organic Search,Tablet
100017,funding,2026-08-16 21:44:46,B,Organic Search,Tablet
100017,account_opened,2026-08-16 20:40:57,B,Organic Search,Tablet
100018,landing_page,2026-08-21 11:48:38,A,Organic Search,Mobile
100018,application_start,2026-08-21 11:29:37,A,Organic Search,Mobile
100019,landing_page,2026-08-04 18:51:43,A,Direct,Desktop
100019,application_start,2026-08-04 19:08:18,A,Direct,Desktop
100019,kyc_complete,2026-08-04 19:41:09,A,Direct,Desktop
100019,funding,2026-08-04 19:51:13,A,Direct,Desktop
100019,account_opened,2026-08-04 19:41:52,A,Direct,Desktop
100020,landing_page,2026-08-22 03:09:10,A,Direct,Desktop
100020,application_start,2026-08-22 04:10:42,A,Direct,Desktop
100020,kyc_complete,2026-08-22 03:37:14,A,Direct,Desktop
100020,funding,2026-08-22 03:38:32,A,Direct,Desktop
100020,account_opened,2026-08-22 03:54:29,A,Direct,Desktop
100021,landing_page,2026-08-10 05:01:35,B,Partner,Mobile
100021,application_start,2026-08-10 05:13:31,B,Partner,Mobile
100021,kyc_complete,2026-08-10 05:12:17,B,Partner,Mobile
